ID, Name, Type
1, TestShip1, Container
2, TestShip2, GasCarrier
3, TestShip3, TugBoat
4, TestShip4, Cargo
5, TestShip5, Cargo
6, TestShip6, Cargo
7, TestShip7, TugBoat
8, TestShip8, GasCarrier
9, TestShip9, Container
10, TestShip10, Cargo
11, TestShip11, Container
12, TestShip12, GasCarrier
13, TestShip13, GasCarrier
14, TestShip14, Container
15, TestShip15, GasCarrier
16, TestShip16, Container
17, TestShip17, TugBoat
18, TestShip18, Cargo
19, TestShip19, TugBoat
20, TestShip20, Container
21, TestShip21, Cargo
22, TestShip22, TugBoat
23, TestShip23, TugBoat
24, TestShip24, Container
25, TestShip25, GasCarrier
26, TestShip26, GasCarrier
27, TestShip27, GasCarrier
28, TestShip28, GasCarrier
29, TestShip29, TugBoat
30, TestShip30, GasCarrier
31, TestShip31, TugBoat
32, TestShip32, Container
33, TestShip33, GasCarrier
34, TestShip34, TugBoat
35, TestShip35, TugBoat
36, TestShip36, Container
37, TestShip37, Cargo
38, TestShip38, Cargo
39, TestShip39, Container
40, TestShip40, TugBoat
41, TestShip41, TugBoat
42, TestShip42, Container
43, TestShip43, Container
44, TestShip44, Container
45, TestShip45, GasCarrier
46, TestShip46, GasCarrier
47, TestShip47, TugBoat
48, TestShip48, Container
49, TestShip49, TugBoat
50, TestShip50, Container
51, TestShip51, GasCarrier
52, TestShip52, TugBoat
53, TestShip53, GasCarrier
54, TestShip54, Cargo
55, TestShip55, TugBoat
56, TestShip56, TugBoat
57, TestShip57, TugBoat
58, TestShip58, TugBoat
59, TestShip59, Container
60, TestShip60, Cargo
61, TestShip61, GasCarrier
62, TestShip62, Container
63, TestShip63, TugBoat
64, TestShip64, Container
65, TestShip65, Cargo
66, TestShip66, GasCarrier
67, TestShip67, GasCarrier
68, TestShip68, Cargo
69, TestShip69, TugBoat
70, TestShip70, GasCarrier
71, TestShip71, Cargo
72, TestShip72, Cargo
73, TestShip73, Container
74, TestShip74, GasCarrier
75, TestShip75, Container
76, TestShip76, TugBoat
77, TestShip77, GasCarrier
78, TestShip78, Container
79, TestShip79, Cargo
80, TestShip80, TugBoat
81, TestShip81, GasCarrier
82, TestShip82, Cargo
